Ticket;Date;Timezone;Transaction;Details;Instrument;Price;Units;Direction;Spread;Cost;Stop;Loss;Take;Profit;Trailing;Stop;Financing;Commission;P/L;Amount;Balance
7349;01/09/2019;08:37:15;PM;MST;ORDER_FILL;STOP_LOSS_ORDER;EUR/USD;1.15702;1;Buy;0.0001;;;;0;0;-0.002;;925.9;;
7350;01/09/2019;08:37:15;PM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7351;01/10/2019;07:24:25;AM;MST;MARKET_ORDER;CLIENT_ORDER;GBP/JPY;;1;Buy;;;;;;;;;;;
7352;01/10/2019;07:24:25;AM;MST;ORDER_FILL;MARKET_ORDER;GBP/JPY;138.052;1;Buy;0.0001;;;;0;0;0;;925.9;;
7353;01/10/2019;07:24:25;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;138.302;;;;;;;;;;;;;
7354;01/10/2019;07:24:25;AM;MST;STOP_LOSS_ORDER;ON_FILL;;137.852;;;;;;;;;;;;;
7355;01/10/2019;07:35:07;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;GBP/JPY;137.852;1;Sell;0.0001;;;;0;0;-0.0019;;925.9;;
7356;01/10/2019;07:35:07;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7357;01/10/2019;09:58:10;PM;MST;ORDER_FILL;MARKET_IF_TOUCHED_ORDER;EUR/AUD;1.59696;1;Buy;0.0001;;;;0;0;0;;925.9;;
7358;01/10/2019;09:58:10;PM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.5995;;;;;;;;;;;;;
7359;01/10/2019;09:58:10;PM;MST;STOP_LOSS_ORDER;ON_FILL;;1.595;;;;;;;;;;;;;
7360;01/10/2019;10:16:48;PM;MST;MARKET_ORDER;CLIENT_ORDER;USD/CAD;;1;Buy;;;;;;;;;;;
7361;01/10/2019;10:16:48;PM;MST;ORDER_FILL;MARKET_ORDER;USD/CAD;1.3203;1;Buy;0.0001;;;;0;0;0;;925.9;;
7362;01/10/2019;10:16:48;PM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.3228;;;;;;;;;;;;;
7363;01/10/2019;10:16:48;PM;MST;STOP_LOSS_ORDER;ON_FILL;;1.3183;;;;;;;;;;;;;
7364;01/11/2019;02:21:19;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;USD/CAD;1.3183;1;Sell;0.0001;;;;0;0;-0.0015;;925.9;;
