Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,P/L,Amount,Balance
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2071,GBP/JPY,,,,,,,,-0.01000,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2095,GBP/JPY,,,,,,,,-0.04320,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2101,GBP/JPY,,,,,,,,-0.02100,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2142,GBP/JPY,,,,,,,,-0.01810,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2145,GBP/JPY,,,,,,,,-0.00620,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2148,GBP/JPY,,,,,,,,-0.00620,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2151,GBP/JPY,,,,,,,,-0.00430,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2158,GBP/JPY,,,,,,,,-0.01540,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2165,GBP/JPY,,,,,,,,-0.01280,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 392,NZD/CHF,,,,,,,,0.01040,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1433,NZD/CHF,,,,,,,,0.03150,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1436,NZD/CHF,,,,,,,,0.02080,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1470,NZD/CHF,,,,,,,,0.02330,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1659,NZD/CHF,,,,,,,,0.20800,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1662,NZD/CHF,,,,,,,,0.04810,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1668,NZD/CHF,,,,,,,,0.02790,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1677,NZD/CHF,,,,,,,,0.01620,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2130,NZD/CHF,,,,,,,,0.01160,,,,
2176,11/19/2017 02:49:46 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2177,11/19/2017 02:49:46 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.56400,,,,,,,,,,,
2178,11/19/2017 02:50:05 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2179,11/19/2017 02:50:05 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.56400,,,,,,,,,,,
2180,11/19/2017 03:11:32 PM,PST,MARKET_ORDER,CLIENT_ORDER,GBP/JPY,,489,Buy,,,,,,,,,
2181,11/19/2017 03:11:32 PM,PST,ORDER_FILL,MARKET_ORDER,GBP/JPY,148.04700,489,Buy,,,,,0.00000,0.0000,0.00000,,3451.56
2182,11/19/2017 03:11:32 PM,PST,TAKE_PROFIT_ORDER,ON_FILL,,148.29700,,,,,,,,,,,
2183,11/19/2017 03:13:41 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2184,11/19/2017 03:13:41 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.55200,,,,,,,,,,,
2185,11/19/2017 03:33:21 PM,PST,ORDER_FILL,MARKET_IF_TOUCHED_ORDER,GBP/JPY,147.85000,1153,Buy,,,,,0.00000,0.0000,0.00000,,3451.56
2186,11/19/2017 03:33:21 PM,PST,TAKE_PROFIT_ORDER,ON_FILL,,148.15000,,,,,,,,,,,
2187,11/19/2017 04:10:25 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2188,11/19/2017 04:10:25 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.32200,,,,,,,,,,,
2189,11/19/2017 08:52:16 PM,PST,MARKET_ORDER,TRADE_CLOSE,NZD/CHF,,559,Sell,,,,,,,,,
2190,11/19/2017 08:52:16 PM,PST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CHF,0.67416,559,Sell,,,,,0.00380,0.0000,0.01130,,3451.57
2191,11/19/2017 08:52:16 PM,PST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,
2192,11/19/2017 09:14:58 PM,PST,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,NZD/CHF,0.67270,1017,Buy,,,,,,,,,
2193,11/19/2017 09:16:53 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2194,11/19/2017 09:16:53 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.14700,,,,,,,,,,,
2195,11/19/2017 11:02:35 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2196,11/19/2017 11:02:35 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.33200,,,,,,,,,,,
2197,11/19/2017 11:12:50 PM,PST,MARKET_ORDER,TRADE_CLOSE,GBP/JPY,,1153,Sell,,,,,,,,,
2198,11/19/2017 11:12:50 PM,PST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,GBP/JPY,148.20600,1153,Sell,,,,,-0.00470,0.0000,3.66160,,3455.23
2199,11/19/2017 11:12:50 PM,PST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,
2200,11/19/2017 11:26:40 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2201,11/19/2017 11:26:40 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.56700,,,,,,,,,,,
2202,11/19/2017 11:27:19 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2203,11/19/2017 11:27:19 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.48000,,,,,,,,,,,
2204,11/19/2017 11:30:13 PM,PST,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,333,Buy,,,,,,,,,
2205,11/19/2017 11:30:13 PM,PST,ORDER_FILL,MARKET_ORDER,EUR/USD,1.17526,333,Buy,,,,,0.00000,0.0000,0.00000,,3455.23
2206,11/19/2017 11:30:13 PM,PST,TAKE_PROFIT_ORDER,ON_FILL,,1.17771,,,,,,,,,,,
2207,11/19/2017 11:42:06 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
2208,11/19/2017 11:42:06 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,148.55500,,,,,,,,,,,
2209,11/20/2017 12:05:39 AM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
